                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2956,                 2.3994,                 1.7292,                0.43236,                0.37928,                0.35653,                0.12881,                 2.1727,                 1.9175,                  1.744,               0.070138,               0.003318,               0.003318
                      2,                  1.895,                 1.5291,                 1.4522,                0.45248,                0.38573,                0.34296,                0.13095,                 2.2593,                 2.1755,                 1.7735,               0.040116,              0.0066294,              0.0066294
                      3,                 1.8593,                  1.409,                 1.3673,                0.47674,                0.30972,                0.30812,                0.10874,                 2.3716,                 2.2895,                 1.7686,               0.010072,              0.0099188,              0.0099188
                      4,                 1.8546,                 1.3597,                   1.35,                0.63065,                0.49591,                0.51888,                0.19449,                 2.2868,                 1.6822,                 1.7545,               0.009901,               0.009901,               0.009901
                      5,                 1.7746,                 1.2352,                  1.315,                0.75878,                0.66317,                0.74182,                0.35802,                 1.7306,                 1.1851,                 1.3587,               0.009868,               0.009868,               0.009868
                      6,                 1.7241,                 1.1672,                 1.2882,                0.75223,                0.66543,                0.73797,                0.37712,                 1.6973,                 1.1503,                 1.3518,               0.009835,               0.009835,               0.009835
                      7,                 1.6917,                 1.1154,                 1.2713,                0.82552,                0.71893,                0.81227,                 0.4208,                 1.6146,                 1.0563,                  1.305,               0.009802,               0.009802,               0.009802
                      8,                 1.6682,                 1.0788,                   1.26,                0.79572,                0.71662,                0.79097,                0.37441,                 1.7934,                 1.0958,                 1.3893,               0.009769,               0.009769,               0.009769
                      9,                 1.6316,                  1.046,                 1.2451,                 0.7616,                0.69463,                0.74914,                0.38287,                 1.7511,                 1.1285,                 1.3478,               0.009736,               0.009736,               0.009736
                     10,                 1.6127,                 1.0306,                 1.2344,                0.83489,                0.72165,                0.81783,                0.43002,                  1.623,                0.99112,                 1.2997,               0.009703,               0.009703,               0.009703
                     11,                 1.5965,                 1.0011,                 1.2236,                0.84877,                0.78875,                0.87299,                0.46323,                 1.5561,                0.92131,                 1.2615,                0.00967,                0.00967,                0.00967
                     12,                 1.5769,                0.98106,                 1.2134,                0.84343,                0.78517,                 0.8525,                0.46175,                 1.5458,                0.97309,                 1.2504,               0.009637,               0.009637,               0.009637
                     13,                 1.5597,                0.96352,                 1.2094,                0.67427,                0.61944,                0.63702,                0.31094,                 1.8396,                 1.3111,                 1.4117,               0.009604,               0.009604,               0.009604
                     14,                 1.5496,                0.95535,                 1.2016,                0.69964,                0.65013,                0.68023,                0.35676,                 1.6674,                 1.1719,                 1.3302,               0.009571,               0.009571,               0.009571
                     15,                 1.5372,                0.93886,                 1.1965,                 0.8813,                0.85068,                0.91101,                0.52343,                  1.457,                0.80062,                 1.2083,               0.009538,               0.009538,               0.009538
                     16,                 1.5319,                0.92193,                 1.1908,                0.88714,                0.82626,                0.90367,                0.50794,                 1.5102,                0.80422,                 1.2206,               0.009505,               0.009505,               0.009505
                     17,                 1.5163,                0.91301,                 1.1795,                0.88096,                0.81388,                0.89122,                0.50427,                 1.4619,                0.84104,                  1.195,               0.009472,               0.009472,               0.009472
                     18,                 1.5011,                 0.8996,                 1.1749,                0.90399,                0.82916,                0.90595,                0.51466,                 1.4839,                0.77701,                 1.2092,               0.009439,               0.009439,               0.009439
                     19,                 1.5111,                0.90198,                 1.1747,                0.85688,                0.77019,                0.86199,                0.49299,                 1.5115,                0.86801,                 1.2161,               0.009406,               0.009406,               0.009406
