epoch,F1,FN,FP,TP,best_metric_name,best_metric_value,is_best,learning_rate,loss,mean_dist,nms_radius,precision,recall,threshold,train_loss
1,0.5885,582,1731,1654,metrics/F1,0.5885,True,0.0003,0.3773,0.777,1,0.4886,0.7397,0.9,0.4568
2,0.6534,468,1408,1768,metrics/F1,0.6534,True,0.0003,0.3025,0.699,1,0.5567,0.7907,0.9,0.3119
3,0.6872,363,1342,1873,metrics/F1,0.6872,True,0.000299,0.2698,0.679,1,0.5826,0.8377,0.9,0.2562
4,0.7036,377,1189,1859,metrics/F1,0.7036,True,0.000299,0.2593,0.675,1,0.6099,0.8314,0.9,0.2249
5,0.7126,425,1036,1811,metrics/F1,0.7126,True,0.000298,0.2525,0.637,1,0.6361,0.8099,0.9,0.2031
6,0.7161,285,1262,1951,metrics/F1,0.7161,True,0.000297,0.2437,0.637,1,0.6072,0.8725,0.9,0.1882
7,0.737,314,1058,1922,metrics/F1,0.737,True,0.000297,0.2483,0.624,1,0.645,0.8596,0.9,0.1751
8,0.7335,274,1152,1962,,,,0.000296,0.2553,0.619,1,0.6301,0.8775,0.9,0.1662
9,0.735,270,1148,1966,,,,0.000294,0.2485,0.599,1,0.6313,0.8792,0.9,0.1569
10,0.753,290,987,1946,metrics/F1,0.753,True,0.000293,0.2735,0.6,1,0.6635,0.8703,0.9,0.1494
11,0.7416,244,1144,1992,,,,0.000292,0.272,0.575,1,0.6352,0.8909,0.9,0.1436
12,0.7539,263,1025,1973,metrics/F1,0.7539,True,0.00029,0.2733,0.584,1,0.6581,0.8824,0.9,0.1374
13,0.7546,271,1007,1965,metrics/F1,0.7546,True,0.000288,0.2783,0.592,1,0.6612,0.8788,0.9,0.1341
14,0.7788,305,792,1931,metrics/F1,0.7788,True,0.000286,0.3182,0.567,1,0.7091,0.8636,0.9,0.1278
15,0.7676,251,951,1985,,,,0.000284,0.315,0.577,1,0.6761,0.8877,0.9,0.1247
16,0.7566,284,972,1952,,,,0.000282,0.3104,0.571,1,0.6676,0.873,0.9,0.1214
17,0.7739,330,784,1906,,,,0.00028,0.375,0.566,1,0.7086,0.8524,0.9,0.1166
18,0.7697,296,865,1940,,,,0.000278,0.3707,0.551,1,0.6916,0.8676,0.9,0.1129
19,0.7611,269,966,1967,,,,0.000275,0.3463,0.561,1,0.6706,0.8797,0.9,0.1128
20,0.7748,296,832,1940,,,,0.000273,0.3904,0.563,1,0.6999,0.8676,0.9,0.1101
21,0.7688,379,738,1857,,,,0.00027,0.4363,0.547,1,0.7156,0.8305,0.9,0.107
22,0.7655,297,891,1939,,,,0.000267,0.3847,0.541,1,0.6852,0.8672,0.9,0.1035
23,0.77,304,850,1932,,,,0.000264,0.4173,0.546,1,0.6945,0.864,0.9,0.1022
24,0.7675,307,862,1929,,,,0.000261,0.4249,0.54,1,0.6912,0.8627,0.9,0.0995
25,0.7694,356,771,1880,,,,0.000258,0.482,0.531,1,0.7092,0.8408,0.9,0.0983
26,0.7651,308,876,1928,,,,0.000255,0.4349,0.517,1,0.6876,0.8623,0.9,0.0955
27,0.7752,353,739,1883,,,,0.000252,0.5029,0.547,1,0.7182,0.8421,0.9,0.0946
28,0.7706,310,837,1926,,,,0.000248,0.4839,0.53,1,0.6971,0.8614,0.9,0.0934
29,0.7658,300,884,1936,,,,0.000245,0.4859,0.517,1,0.6865,0.8658,0.9,0.0909
30,0.7646,264,950,1972,,,,0.000241,0.4937,0.528,1,0.6749,0.8819,0.9,0.089
31,0.7695,366,754,1870,,,,0.000238,0.5476,0.514,1,0.7127,0.8363,0.9,0.0894
32,0.7819,345,710,1891,metrics/F1,0.7819,True,0.000234,0.579,0.531,1,0.727,0.8457,0.9,0.0879
33,0.7807,349,711,1887,,,,0.00023,0.5796,0.514,1,0.7263,0.8439,0.9,0.0861
34,0.7735,254,907,1982,,,,0.000226,0.4934,0.537,1,0.6861,0.8864,0.9,0.0835
35,0.7697,299,860,1937,,,,0.000222,0.53,0.534,1,0.6925,0.8663,0.9,0.0828
36,0.778,396,654,1840,,,,0.000218,0.6059,0.502,1,0.7378,0.8229,0.9,0.0838
37,0.7758,297,824,1939,,,,0.000214,0.5611,0.529,1,0.7018,0.8672,0.9,0.0809
38,0.7853,329,714,1907,metrics/F1,0.7853,True,0.00021,0.628,0.504,1,0.7276,0.8529,0.9,0.0811
39,0.7814,324,746,1912,,,,0.000206,0.6474,0.503,1,0.7193,0.8551,0.9,0.0769
40,0.78,322,758,1914,,,,0.000202,0.6207,0.508,1,0.7163,0.856,0.9,0.0799
41,0.7771,315,787,1921,,,,0.000197,0.6415,0.513,1,0.7094,0.8591,0.9,0.0766
42,0.7841,364,667,1872,,,,0.000193,0.7178,0.503,1,0.7373,0.8372,0.9,0.0768
43,0.7905,336,671,1900,metrics/F1,0.7905,True,0.000189,0.6971,0.519,1,0.739,0.8497,0.9,0.074
44,0.8002,348,595,1888,metrics/F1,0.8002,True,0.000184,0.7637,0.502,1,0.7604,0.8444,0.9,0.0729
45,0.7942,305,696,1931,,,,0.00018,0.6907,0.505,1,0.7351,0.8636,0.9,0.0729
46,0.7993,342,609,1894,,,,0.000175,0.7588,0.502,1,0.7567,0.847,0.9,0.0719
47,0.7824,359,685,1877,,,,0.000171,0.7294,0.51,1,0.7326,0.8394,0.9,0.0694
48,0.799,346,605,1890,,,,0.000166,0.7959,0.498,1,0.7575,0.8453,0.9,0.0693
49,0.7894,323,698,1913,,,,0.000162,0.7504,0.509,1,0.7327,0.8555,0.9,0.0709
50,0.7949,352,620,1884,,,,0.000157,0.8051,0.504,1,0.7524,0.8426,0.9,0.068
51,0.7973,314,663,1922,,,,0.000153,0.7971,0.505,1,0.7435,0.8596,0.9,0.0672
52,0.7942,335,650,1901,,,,0.000149,0.7852,0.499,1,0.7452,0.8502,0.9,0.065
53,0.7981,344,613,1892,,,,0.000144,0.8307,0.5,1,0.7553,0.8462,0.9,0.0659
54,0.7966,337,633,1899,,,,0.00014,0.8675,0.488,1,0.75,0.8493,0.9,0.0656
