epoch,F1,FN,FP,TP,best_metric_name,best_metric_value,is_best,learning_rate,loss,mean_dist,nms_radius,precision,recall,threshold,train_loss
1,0.0,170,2106,0,metrics/F1,0.0,True,0.0003,1.1681,0.0,1,0.0,0.0,0.25,1.043
2,0.0,170,2211,0,,,,0.0003,1.2267,0.0,1,0.0,0.0,0.25,0.7384
3,0.6013,78,44,92,metrics/F1,0.6013,True,0.000299,0.7927,0.572,2,0.6765,0.5412,0.5,0.5929
4,0.645,51,80,119,metrics/F1,0.645,True,0.000299,0.5098,0.555,1,0.598,0.7,0.8,0.5092
5,0.6667,58,54,112,metrics/F1,0.6667,True,0.000298,0.4476,0.552,2,0.6747,0.6588,0.8,0.4467
6,0.6769,60,45,110,metrics/F1,0.6769,True,0.000297,0.4055,0.525,1,0.7097,0.6471,0.9,0.3971
7,0.7003,52,49,118,metrics/F1,0.7003,True,0.000297,0.3742,0.515,1,0.7066,0.6941,0.9,0.3565
8,0.7186,50,44,120,metrics/F1,0.7186,True,0.000296,0.3497,0.523,1,0.7317,0.7059,0.9,0.3217
9,0.7381,46,42,124,metrics/F1,0.7381,True,0.000294,0.3295,0.51,1,0.747,0.7294,0.9,0.2919
10,0.7529,42,42,128,metrics/F1,0.7529,True,0.000293,0.3118,0.48,1,0.7529,0.7529,0.9,0.2631
11,0.7407,50,34,120,,,,0.000292,0.2995,0.471,1,0.7792,0.7059,0.9,0.2379
12,0.7561,46,34,124,metrics/F1,0.7561,True,0.00029,0.2854,0.469,1,0.7848,0.7294,0.9,0.2147
13,0.7613,44,35,126,metrics/F1,0.7613,True,0.000288,0.2795,0.484,2,0.7826,0.7412,0.8,0.1945
14,0.7578,48,30,122,,,,0.000286,0.2758,0.475,2,0.8026,0.7176,0.8,0.1779
15,0.7649,48,27,122,metrics/F1,0.7649,True,0.000284,0.2807,0.452,2,0.8188,0.7176,0.8,0.16
16,0.7603,32,55,138,,,,0.000282,0.2767,0.429,1,0.715,0.8118,0.8,0.1446
17,0.7532,51,27,119,,,,0.00028,0.2772,0.407,2,0.8151,0.7,0.8,0.1308
18,0.7569,33,55,137,,,,0.000278,0.2885,0.421,1,0.7135,0.8059,0.8,0.1201
19,0.7564,38,47,132,,,,0.000275,0.2912,0.419,1,0.7374,0.7765,0.8,0.1108
20,0.7597,53,21,117,,,,0.000273,0.2963,0.411,2,0.8478,0.6882,0.8,0.0997
21,0.7608,38,45,132,,,,0.00027,0.3177,0.431,1,0.7458,0.7765,0.8,0.0929
22,0.763,38,44,132,,,,0.000267,0.3121,0.461,1,0.75,0.7765,0.8,0.0843
23,0.771,37,42,133,metrics/F1,0.771,True,0.000264,0.3322,0.44,1,0.76,0.7824,0.8,0.0787
24,0.7647,40,40,130,,,,0.000261,0.3385,0.449,1,0.7647,0.7647,0.8,0.0732
25,0.7633,41,39,129,,,,0.000258,0.3551,0.46,1,0.7679,0.7588,0.8,0.0709
26,0.7446,49,34,121,,,,0.000255,0.3459,0.436,2,0.7806,0.7118,0.65,0.0649
27,0.7628,43,36,127,,,,0.000252,0.3936,0.45,1,0.7791,0.7471,0.8,0.0609
28,0.7553,45,36,125,,,,0.000248,0.3918,0.457,1,0.7764,0.7353,0.8,0.0564
29,0.7569,47,32,123,,,,0.000245,0.411,0.452,1,0.7935,0.7235,0.8,0.0516
30,0.7596,31,57,139,,,,0.000241,0.4274,0.457,1,0.7092,0.8176,0.65,0.0486
31,0.7516,52,26,118,,,,0.000238,0.4372,0.433,2,0.8194,0.6941,0.65,0.0461
32,0.7527,33,57,137,,,,0.000234,0.4378,0.443,1,0.7062,0.8059,0.65,0.0439
33,0.7507,36,53,134,,,,0.00023,0.4674,0.449,1,0.7166,0.7882,0.65,0.0414
34,0.7531,48,32,122,,,,0.000226,0.4654,0.453,2,0.7922,0.7176,0.5,0.0392
35,0.7385,50,35,120,,,,0.000222,0.4967,0.419,2,0.7742,0.7059,0.5,0.0368
36,0.7414,41,49,129,,,,0.000218,0.4943,0.427,1,0.7247,0.7588,0.65,0.0356
37,0.7493,43,42,127,,,,0.000214,0.5128,0.415,1,0.7515,0.7471,0.65,0.0334
38,0.75,44,40,126,,,,0.00021,0.5402,0.403,1,0.759,0.7412,0.65,0.0318
39,0.7434,44,43,126,,,,0.000206,0.5304,0.39,1,0.7456,0.7412,0.65,0.0297
40,0.7461,51,30,119,,,,0.000202,0.5635,0.435,2,0.7987,0.7,0.5,0.0282
41,0.7458,60,15,110,,,,0.000197,0.5633,0.33,1,0.88,0.6471,0.8,0.0275
42,0.753,45,37,125,,,,0.000193,0.5744,0.406,1,0.7716,0.7353,0.65,0.0266
43,0.747,46,38,124,,,,0.000189,0.5872,0.404,1,0.7654,0.7294,0.65,0.0259
