epoch,train_loss
1,0.7772
2,0.5075
3,0.3759
4,0.3011
5,0.2484
6,0.2073
7,0.1731
8,0.1462
9,0.1251
10,0.1087
11,0.0938
12,0.082
13,0.0722
14,0.0638
15,0.0572
16,0.0518
17,0.046
18,0.0425
19,0.0388
20,0.0344
21,0.0315
22,0.0298
23,0.0273
24,0.0252
25,0.0227
26,0.0209
27,0.02
28,0.0185
29,0.0175
30,0.016
31,0.015
32,0.0141
33,0.0145
34,0.013
35,0.0118
36,0.0111
37,0.0109
38,0.0104
39,0.0098
40,0.009
41,0.0085
42,0.008
43,0.0078
44,0.0073
45,0.007
46,0.0065
47,0.0062
48,0.0059
49,0.0058
50,0.0055
51,0.0052
52,0.005
53,0.0048
54,0.0047
55,0.0048
56,0.0044
57,0.0041
58,0.0041
59,0.004
60,0.0039
61,0.0038
62,0.0037
63,0.0036
64,0.0036
65,0.0034
66,0.0032
67,0.0032
68,0.003
69,0.003
70,0.0029
71,0.0032
72,0.003
73,0.0033
74,0.0028
75,0.0028
76,0.0027
77,0.0028
78,0.0027
79,0.0025
80,0.0025
81,0.0024
82,0.0026
83,0.0025
84,0.0025
85,0.0024
86,0.0024
87,0.0024
88,0.0022
89,0.0022
90,0.0022
91,0.0022
92,0.0021
93,0.0021
94,0.002
95,0.0021
96,0.0021
97,0.0021
98,0.0022
99,0.0022
100,0.002
