epoch,F1,FN,FP,TP,best_metric_name,best_metric_value,is_best,learning_rate,loss,mean_dist,nms_radius,precision,recall,threshold,train_loss
1,0.3003,406,2045,526,metrics/F1,0.3003,True,0.0003,0.766,1.054,2,0.2046,0.5644,0.35,0.5451
2,0.6314,282,477,650,metrics/F1,0.6314,True,0.0003,0.38,0.909,2,0.5768,0.6974,0.8,0.4225
3,0.6875,172,519,760,metrics/F1,0.6875,True,0.000299,0.3316,0.838,2,0.5942,0.8155,0.8,0.3594
4,0.7161,193,393,739,metrics/F1,0.7161,True,0.000299,0.2915,0.817,2,0.6528,0.7929,0.8,0.316
5,0.7415,162,375,770,metrics/F1,0.7415,True,0.000298,0.2584,0.786,2,0.6725,0.8262,0.8,0.2829
6,0.7458,156,373,776,metrics/F1,0.7458,True,0.000297,0.2369,0.76,2,0.6754,0.8326,0.8,0.2578
7,0.7609,130,374,802,metrics/F1,0.7609,True,0.000297,0.2123,0.707,2,0.682,0.8605,0.8,0.2333
8,0.7833,193,216,739,metrics/F1,0.7833,True,0.000296,0.1924,0.68,2,0.7738,0.7929,0.9,0.2097
9,0.7856,133,303,799,metrics/F1,0.7856,True,0.000294,0.1711,0.625,2,0.725,0.8573,0.8,0.1935
10,0.7975,170,217,762,metrics/F1,0.7975,True,0.000293,0.1583,0.619,2,0.7783,0.8176,0.9,0.1749
11,0.797,123,289,809,,,,0.000292,0.1409,0.575,2,0.7368,0.868,0.8,0.1577
12,0.8217,105,254,827,metrics/F1,0.8217,True,0.00029,0.1288,0.529,2,0.765,0.8873,0.8,0.1442
13,0.8252,139,197,793,metrics/F1,0.8252,True,0.000288,0.1188,0.496,2,0.801,0.8509,0.9,0.1352
14,0.8294,120,214,812,metrics/F1,0.8294,True,0.000286,0.1188,0.5,2,0.7914,0.8712,0.9,0.1228
15,0.8483,96,203,836,metrics/F1,0.8483,True,0.000284,0.102,0.44,2,0.8046,0.897,0.8,0.1126
16,0.846,97,207,835,,,,0.000282,0.1072,0.463,2,0.8013,0.8959,0.8,0.107
17,0.8734,101,140,831,metrics/F1,0.8734,True,0.00028,0.084,0.366,2,0.8558,0.8916,0.9,0.0978
18,0.8431,134,163,798,,,,0.000278,0.1123,0.492,2,0.8304,0.8562,0.9,0.0898
19,0.8639,107,153,825,,,,0.000275,0.082,0.366,2,0.8436,0.8852,0.9,0.0851
20,0.898,74,121,858,metrics/F1,0.898,True,0.000273,0.0695,0.292,2,0.8764,0.9206,0.9,0.0815
21,0.8839,91,130,841,,,,0.00027,0.0774,0.34,2,0.8661,0.9024,0.9,0.0809
22,0.8455,122,174,810,,,,0.000267,0.1177,0.427,2,0.8232,0.8691,0.8,0.0779
23,0.8994,83,107,849,metrics/F1,0.8994,True,0.000264,0.0653,0.277,2,0.8881,0.9109,0.9,0.0706
24,0.9035,85,96,847,metrics/F1,0.9035,True,0.000261,0.0581,0.232,2,0.8982,0.9088,0.9,0.0692
25,0.9142,64,99,868,metrics/F1,0.9142,True,0.000258,0.0555,0.223,2,0.8976,0.9313,0.9,0.065
26,0.8989,78,114,854,,,,0.000255,0.0639,0.269,2,0.8822,0.9163,0.9,0.0615
27,0.9232,60,85,872,metrics/F1,0.9232,True,0.000252,0.0505,0.179,2,0.9112,0.9356,0.9,0.0581
28,0.9158,67,92,865,,,,0.000248,0.051,0.201,2,0.9039,0.9281,0.9,0.0534
29,0.9371,53,65,879,metrics/F1,0.9371,True,0.000245,0.0417,0.153,2,0.9311,0.9431,0.9,0.0516
30,0.9424,40,69,892,metrics/F1,0.9424,True,0.000241,0.0407,0.148,2,0.9282,0.9571,0.9,0.0496
31,0.9339,49,76,883,,,,0.000238,0.0442,0.16,2,0.9208,0.9474,0.9,0.0498
32,0.9439,48,57,884,metrics/F1,0.9439,True,0.000234,0.0365,0.138,2,0.9394,0.9485,0.9,0.0441
33,0.9226,56,91,876,,,,0.00023,0.0445,0.162,2,0.9059,0.9399,0.8,0.0416
34,0.9501,46,47,886,metrics/F1,0.9501,True,0.000226,0.0313,0.108,2,0.9496,0.9506,0.9,0.0386
35,0.9366,60,58,872,,,,0.000222,0.0386,0.136,2,0.9376,0.9356,0.9,0.0389
36,0.9461,45,56,887,,,,0.000218,0.0354,0.114,2,0.9406,0.9517,0.9,0.044
37,0.9281,67,67,865,,,,0.000214,0.0418,0.154,2,0.9281,0.9281,0.9,0.043
38,0.952,40,50,892,metrics/F1,0.952,True,0.00021,0.0309,0.098,2,0.9469,0.9571,0.9,0.0383
39,0.9117,65,103,867,,,,0.000206,0.0632,0.193,2,0.8938,0.9303,0.8,0.0385
40,0.9587,39,38,893,metrics/F1,0.9587,True,0.000202,0.0265,0.08,2,0.9592,0.9582,0.9,0.0359
41,0.964,35,32,897,metrics/F1,0.964,True,0.000197,0.0228,0.061,2,0.9656,0.9624,0.9,0.0292
42,0.9595,32,44,900,,,,0.000193,0.0274,0.074,2,0.9534,0.9657,0.9,0.0315
43,0.9572,37,43,895,,,,0.000189,0.0286,0.088,2,0.9542,0.9603,0.9,0.0298
44,0.9623,39,31,893,,,,0.000184,0.0228,0.063,2,0.9665,0.9582,0.9,0.0282
45,0.9689,30,28,902,metrics/F1,0.9689,True,0.00018,0.0207,0.049,2,0.9699,0.9678,0.9,0.0278
46,0.9704,30,25,902,metrics/F1,0.9704,True,0.000175,0.0216,0.046,2,0.973,0.9678,0.9,0.0301
47,0.9683,31,28,901,,,,0.000171,0.0207,0.05,2,0.9699,0.9667,0.9,0.0287
48,0.9667,32,30,900,,,,0.000166,0.0211,0.056,2,0.9677,0.9657,0.9,0.025
49,0.9709,32,22,900,metrics/F1,0.9709,True,0.000162,0.0182,0.042,2,0.9761,0.9657,0.9,0.0244
50,0.9725,29,22,903,metrics/F1,0.9725,True,0.000157,0.0172,0.034,2,0.9762,0.9689,0.9,0.0218
51,0.9731,28,22,904,metrics/F1,0.9731,True,0.000153,0.0168,0.035,2,0.9762,0.97,0.9,0.0214
52,0.9721,26,26,906,,,,0.000149,0.0189,0.031,2,0.9721,0.9721,0.9,0.0237
53,0.9731,29,21,903,,,,0.000144,0.0177,0.033,2,0.9773,0.9689,0.9,0.0227
54,0.9747,28,19,904,metrics/F1,0.9747,True,0.00014,0.016,0.035,2,0.9794,0.97,0.9,0.0199
55,0.9736,29,20,903,,,,0.000135,0.0145,0.028,2,0.9783,0.9689,0.9,0.0193
56,0.9768,27,16,905,metrics/F1,0.9768,True,0.000131,0.0133,0.029,2,0.9826,0.971,0.9,0.0208
57,0.9731,29,21,903,,,,0.000126,0.0143,0.026,2,0.9773,0.9689,0.9,0.0187
58,0.9757,28,17,904,,,,0.000122,0.0141,0.028,2,0.9815,0.97,0.9,0.018
59,0.9747,28,19,904,,,,0.000118,0.0135,0.023,2,0.9794,0.97,0.9,0.0186
60,0.9751,31,15,901,,,,0.000113,0.0143,0.028,2,0.9836,0.9667,0.9,0.0167
61,0.9779,26,15,906,metrics/F1,0.9779,True,0.000109,0.0137,0.03,2,0.9837,0.9721,0.9,0.0202
62,0.9751,31,15,901,,,,0.000105,0.0137,0.029,2,0.9836,0.9667,0.9,0.0186
63,0.9778,28,13,904,,,,0.000101,0.0127,0.019,2,0.9858,0.97,0.9,0.0164
64,0.9773,28,14,904,,,,9.7e-05,0.0118,0.018,2,0.9847,0.97,0.9,0.0153
65,0.9768,27,16,905,,,,9.3e-05,0.0118,0.023,2,0.9826,0.971,0.9,0.0167
66,0.9821,0,34,932,metrics/F1,0.9821,True,8.9e-05,0.0105,0.017,1,0.9648,1.0,0.9,0.0149
67,0.9826,0,33,932,metrics/F1,0.9826,True,8.5e-05,0.0104,0.016,1,0.9658,1.0,0.9,0.0143
68,0.9836,0,31,932,metrics/F1,0.9836,True,8.1e-05,0.01,0.011,1,0.9678,1.0,0.9,0.0147
69,0.9768,27,16,905,,,,7.7e-05,0.0118,0.021,2,0.9826,0.971,0.9,0.0151
70,0.9831,0,32,932,,,,7.4e-05,0.0097,0.011,1,0.9668,1.0,0.9,0.0146
71,0.9847,0,29,932,metrics/F1,0.9847,True,7e-05,0.0098,0.012,1,0.9698,1.0,0.9,0.0148
72,0.991,0,17,932,metrics/F1,0.991,True,6.7e-05,0.0088,0.008,1,0.9821,1.0,0.9,0.0124
73,0.9847,0,29,932,,,,6.3e-05,0.0094,0.009,1,0.9698,1.0,0.9,0.0134
74,0.9842,0,30,932,,,,6e-05,0.0089,0.012,1,0.9688,1.0,0.9,0.0121
75,0.9868,0,25,932,,,,5.7e-05,0.0092,0.008,1,0.9739,1.0,0.9,0.0138
76,0.9862,0,26,932,,,,5.4e-05,0.0091,0.005,1,0.9729,1.0,0.9,0.0144
77,0.9795,0,39,932,,,,5.1e-05,0.0105,0.009,1,0.9598,1.0,0.9,0.016
78,0.9842,0,30,932,,,,4.8e-05,0.0093,0.005,1,0.9688,1.0,0.9,0.0148
79,0.9857,0,27,932,,,,4.5e-05,0.0089,0.01,1,0.9718,1.0,0.9,0.0141
80,0.9868,0,25,932,,,,4.2e-05,0.0083,0.008,1,0.9739,1.0,0.9,0.0116
81,0.9883,0,22,932,,,,4e-05,0.008,0.005,1,0.9769,1.0,0.9,0.0116
82,0.9857,0,27,932,,,,3.7e-05,0.0087,0.008,1,0.9718,1.0,0.9,0.013
83,0.9883,0,22,932,,,,3.5e-05,0.0082,0.009,1,0.9769,1.0,0.9,0.012
84,0.9899,0,19,932,,,,3.3e-05,0.0082,0.007,1,0.98,1.0,0.9,0.0119
85,0.9873,0,24,932,,,,3.1e-05,0.0083,0.009,1,0.9749,1.0,0.9,0.0127
86,0.9899,0,19,932,,,,2.9e-05,0.0076,0.007,1,0.98,1.0,0.9,0.011
87,0.9899,0,19,932,,,,2.7e-05,0.0076,0.006,1,0.98,1.0,0.9,0.0111
88,0.991,0,17,932,,,,2.5e-05,0.0075,0.005,1,0.9821,1.0,0.9,0.0109
89,0.9899,0,19,932,,,,2.3e-05,0.0075,0.006,1,0.98,1.0,0.9,0.0107
90,0.991,0,17,932,,,,2.2e-05,0.0073,0.005,1,0.9821,1.0,0.9,0.0117
91,0.991,0,17,932,,,,2.1e-05,0.0076,0.009,1,0.9821,1.0,0.9,0.0104
92,0.991,0,17,932,,,,1.9e-05,0.0075,0.007,1,0.9821,1.0,0.9,0.0126
